iter	Passed	Remaining
1413	28351	31800
1414	28372	31781
1415	28392	31760
1416	28411	31739
1417	28430	31718
1418	28449	31697
1419	28469	31677
1420	28489	31656
1421	28508	31635
1422	28528	31615
1423	28548	31596
1424	28567	31575
1425	28588	31555
1426	28607	31534
1427	28626	31513
1428	28645	31492
1429	28665	31471
1430	28684	31450
1431	28704	31430
1432	28722	31408
1433	28737	31383
1434	28754	31359
1435	28773	31338
1436	28791	31316
1437	28807	31291
1438	28827	31271
1439	28846	31249
1440	28865	31229
1441	28887	31211
1442	28911	31195
1443	28935	31179
1444	28960	31164
1445	28979	31143
1446	29001	31125
1447	29022	31106
1448	29043	31087
1449	29064	31069
1450	29085	31049
1451	29106	31030
1452	29126	31010
1453	29145	30989
1454	29163	30967
1455	29180	30944
1456	29196	30919
1457	29210	30893
1458	29230	30873
1459	29251	30854
1460	29271	30834
1461	29292	30815
1462	29312	30794
1463	29332	30774
1464	29350	30752
1465	29371	30733
1466	29390	30713
1467	29410	30692
1468	29429	30672
1469	29448	30650
1470	29467	30628
1471	29486	30608
1472	29505	30587
1473	29524	30565
1474	29543	30544
1475	29562	30524
1476	29580	30502
1477	29601	30482
1478	29620	30461
1479	29641	30442
1480	29658	30419
1481	29676	30397
1482	29695	30375
1483	29713	30354
1484	29731	30332
1485	29751	30311
1486	29771	30291
1487	29790	30270
1488	29808	30249
1489	29831	30231
1490	29850	30210
1491	29868	30189
1492	29888	30168
1493	29908	30148
1494	29930	30130
1495	29950	30111
1496	29972	30092
1497	29992	30072
1498	30017	30057
1499	30040	30040
1500	30063	30023
1501	30084	30004
1502	30105	29985
1503	30126	29965
1504	30145	29945
1505	30167	29926
1506	30187	29907
1507	30207	29887
1508	30229	29869
1509	30250	29849
1510	30269	29828
1511	30285	29804
1512	30306	29785
1513	30326	29766
1514	30345	29744
1515	30366	29725
1516	30387	29706
1517	30405	29684
1518	30425	29664
1519	30447	29645
1520	30467	29626
1521	30488	29606
1522	30507	29586
1523	30528	29566
1524	30547	29545
1525	30567	29526
1526	30588	29506
1527	30609	29487
1528	30629	29467
1529	30648	29446
1530	30666	29424
1531	30686	29404
1532	30705	29383
1533	30724	29362
1534	30744	29342
1535	30764	29322
1536	30784	29302
1537	30805	29282
1538	30824	29262
1539	30845	29243
1540	30864	29221
1541	30882	29200
1542	30899	29177
1543	30917	29155
1544	30936	29134
1545	30955	29113
1546	30974	29092
1547	30992	29070
1548	31009	29047
1549	31028	29026
1550	31045	29003
1551	31063	28981
1552	31082	28960
1553	31101	28939
1554	31121	28920
1555	31141	28899
1556	31162	28881
1557	31182	28860
1558	31202	28841
1559	31222	28820
1560	31242	28801
1561	31261	28780
1562	31278	28756
1563	31295	28734
1564	31335	28732
1565	31361	28717
1566	31381	28698
1567	31403	28679
1568	31422	28658
1569	31441	28637
1570	31462	28618
1571	31479	28595
1572	31499	28575
1573	31520	28556
1574	31540	28536
1575	31560	28516
1576	31578	28494
1577	31598	28474
1578	31616	28452
1579	31634	28430
1580	31651	28408
1581	31673	28389
1582	31692	28369
1583	31710	28347
1584	31731	28327
1585	31749	28306
1586	31770	28286
1587	31789	28265
1588	31808	28245
1589	31829	28226
1590	31846	28203
1591	31866	28183
1592	31887	28163
1593	31907	28144
1594	31928	28125
1595	31948	28105
1596	31968	28084
1597	31986	28063
1598	32007	28043
1599	32026	28023
1600	32051	28007
1601	32072	27988
1602	32090	27966
1603	32108	27945
1604	32124	27921
1605	32147	27903
1606	32166	27882
1607	32184	27860
1608	32203	27840
1609	32223	27820
1610	32242	27799
1611	32260	27777
1612	32280	27757
1613	32298	27736
1614	32318	27716
1615	32337	27695
1616	32355	27673
1617	32375	27653
1618	32395	27633
1619	32414	27612
1620	32433	27591
1621	32450	27569
1622	32468	27547
1623	32485	27524
1624	32503	27502
1625	32521	27481
1626	32540	27460
1627	32557	27438
1628	32578	27419
1629	32597	27397
1630	32617	27377
1631	32638	27358
1632	32658	27339
1633	32681	27321
1634	32703	27303
1635	32722	27281
1636	32745	27264
1637	32766	27245
1638	32790	27228
1639	32809	27208
1640	32832	27190
1641	32852	27170
1642	32872	27150
1643	32892	27130
1644	32912	27110
1645	32933	27090
1646	32952	27070
1647	32970	27048
1648	32989	27028
1649	33009	27007
1650	33027	26985
1651	33044	26963
1652	33063	26943
1653	33081	26921
1654	33100	26900
1655	33116	26877
1656	33133	26854
1657	33151	26832
1658	33168	26810
1659	33186	26789
1660	33206	26768
1661	33223	26747
1662	33243	26726
1663	33260	26704
